Series ID,Year,Period,Label,Value,6-Month Net Change
SUUR0000SA0,2019,M01,2019 Jan,142.001,N/A
SUUR0000SA0,2019,M02,2019 Feb,142.571,N/A
SUUR0000SA0,2019,M03,2019 Mar,143.297,N/A
SUUR0000SA0,2019,M04,2019 Apr,143.926,N/A
SUUR0000SA0,2019,M05,2019 May,144.183,N/A
SUUR0000SA0,2019,M06,2019 Jun,144.243,N/A
SUUR0000SA0,2019,M07,2019 Jul,144.409,N/A
SUUR0000SA0,2019,M08,2019 Aug,144.388,N/A
SUUR0000SA0,2019,M09,2019 Sep,144.428,N/A
SUUR0000SA0,2019,M10,2019 Oct,144.629,N/A
SUUR0000SA0,2019,M11,2019 Nov,144.518,N/A
SUUR0000SA0,2019,M12,2019 Dec,144.251,N/A
SUUR0000SA0,2020,M01,2020 Jan,144.813,N/A
SUUR0000SA0,2020,M02,2020 Feb,145.193,N/A
SUUR0000SA0,2020,M03,2020 Mar,144.913,N/A
SUUR0000SA0,2020,M04,2020 Apr,144.142,N/A
SUUR0000SA0,2020,M05,2020 May,144.018,N/A
SUUR0000SA0,2020,M06,2020 Jun,144.847,N/A
SUUR0000SA0,2020,M07,2020 Jul,145.602,N/A
SUUR0000SA0,2020,M08,2020 Aug,146.050,N/A
SUUR0000SA0,2020,M09,2020 Sep,146.270,N/A
SUUR0000SA0,2020,M10,2020 Oct,146.314,N/A
SUUR0000SA0,2020,M11,2020 Nov,146.205,N/A
SUUR0000SA0,2020,M12,2020 Dec,146.330,N/A
SUUR0000SA0,2021,M01,2021 Jan,146.975,N/A
SUUR0000SA0,2021,M02,2021 Feb,147.798,N/A
SUUR0000SA0,2021,M03,2021 Mar,148.839,N/A
SUUR0000SA0,2021,M04,2021 Apr,150.070,N/A
SUUR0000SA0,2021,M05,2021 May,151.253,N/A
