date,close
2007-02-01,0.005094
2007-03-01,-0.026139
2007-04-01,0.048525
2007-05-01,0.052007
2007-06-01,-0.01607
2007-07-01,0.038006
2007-08-01,-0.063895
2007-09-01,0.066521
2007-10-01,0.002476
2007-11-01,-0.024042
2007-12-01,-0.010629
2008-01-01,-0.059492
2008-02-01,-0.035596
2008-03-01,0.013213
2008-04-01,0.020872
2008-05-01,-0.001434
2008-06-01,-0.042702
2008-07-01,-0.057398
2008-08-01,0.025434
2008-09-01,-0.0691
2008-10-01,-0.154181
2008-11-01,-0.08031
2008-12-01,0.058127
2009-01-01,-0.037496
2009-02-01,-0.164795
2009-03-01,0.042397
2009-04-01,0.064513
2009-05-01,0.056776
2009-06-01,0.038969
2009-07-01,-0.047834
2009-08-01,0.110972
2009-09-01,0.057594
2009-10-01,-0.007828
2009-11-01,0.07739
2009-12-01,-0.003478
2010-01-01,-0.022411
2010-02-01,0.01285
2010-03-01,0.050856
2010-04-01,0.015511
2010-05-01,-0.080055
2010-06-01,-0.035769
2010-07-01,0.078134
2010-08-01,-0.034476
2010-09-01,0.067414
2010-10-01,0.023775
2010-11-01,-0.002383
2010-12-01,0.039776
2011-01-01,0.031102
2011-02-01,0.014329
2011-03-01,-0.002139
2011-04-01,0.032418
2011-05-01,0.001199
2011-06-01,-0.002194
2011-07-01,0.002626
2011-08-01,-0.066956
2011-09-01,-0.036406
2011-10-01,0.025682
2011-11-01,0.001359
2011-12-01,0.045912
2012-01-01,0.052598
2012-02-01,0.017742
2012-03-01,0.02592
2012-04-01,-0.009181
2012-05-01,-0.053259
2012-06-01,0.034768
2012-07-01,-0.00014
2012-08-01,0.035016
2012-09-01,0.024247
2012-10-01,-0.018274
2012-11-01,-0.026969
2012-12-01,0.01186
2013-01-01,0.028023
2013-02-01,0.036521
2013-03-01,0.023492
2013-04-01,0.037377
2013-05-01,0.016852
2013-06-01,-0.000225
2013-07-01,0.025628
2013-08-01,-0.042492
2013-09-01,0.028118
2013-10-01,0.007576
2013-11-01,0.032679
2013-12-01,0.01838
2014-01-01,0.015902
2014-02-01,-0.014941
2014-03-01,0.014772
2014-04-01,0.007108
2014-05-01,0.010995
2014-06-01,0.006544
2014-07-01,-0.993017
2014-08-01,144.518301
2014-09-01,-0.003246
2014-10-01,0.020396
2014-11-01,0.025169
2014-12-01,-0.000286
2015-01-01,-0.03693
2015-02-01,0.056382
2015-03-01,-0.019666
2015-04-01,0.01475
2015-05-01,-0.00153
2015-06-01,-0.02172
2015-07-01,0.006379
2015-08-01,-0.067895
2015-09-01,-0.02575
2015-10-01,0.096948
2015-11-01,0.003193
2015-12-01,-0.016642
2016-01-01,-0.055019
2016-02-01,0.003049
2016-03-01,0.070753
2016-04-01,0.005004
2016-05-01,0.000765
2016-06-01,0.008028
2016-07-01,0.028009
2016-08-01,-0.001698
2016-09-01,-0.005038
2016-10-01,-0.009056
2016-11-01,0.054083
2016-12-01,0.033414
2017-01-01,0.005136
2017-02-01,0.047729
2017-03-01,-0.007159
2017-04-01,0.01342
2017-05-01,0.003257
2017-06-01,0.016227
2017-07-01,0.025363
2017-08-01,0.002604
2017-09-01,0.020822
2017-10-01,0.043387
2017-11-01,0.038294
2017-12-01,0.018408
2018-01-01,0.057858
2018-02-01,-0.042839
2018-03-01,-0.034663
2018-04-01,6.2e-05
2018-05-01,0.010458
2018-06-01,-0.005914
2018-07-01,0.047125
2018-08-01,0.021625
2018-09-01,0.019007
2018-10-01,-0.05074
2018-11-01,0.01683
2018-12-01,-0.086575
2019-01-01,0.071684
2019-02-01,0.036652
2019-03-01,0.00049
2019-04-01,0.025616
2019-05-01,-0.066856
2019-06-01,0.078106
2019-07-01,
2019-08-01,
2019-09-01,
2019-10-01,0.006779
2019-11-01,
2019-12-01,
2020-01-01,
2020-02-01,-0.010447
2020-03-01,-0.216146
2020-04-01,0.034804
